Facilities,Amount,Comments,Sentiment
Entrance,9435,Madumi yung area nung dumating kami.,Negative
Entrance,23010,"Beautiful view and very friendly, helpful staff.",Positive
Entrance,14226,Good location but service was just standard.,Neutral
Reservation,11922,Hindi gaanong special pero okay naman yung stay.,Neutral
Reservation,8025,"Acceptable quality, sakto lang ang karanasan.",Neutral
Hall Rental,2701,Rude staff and very slow service at reception.,Negative
Hall Rental,21668,"Everything was superb, clean, and well-maintained.",Positive
Entrance,8858,"Terrible and awful experience, would not go back.",Negative
Entrance,29484,Walang kupas ang ganda ng pool area.,Positive
Event,16467,"It was an okay stay, average service overall.",Neutral
Entrance,8401,The water was cloudy and the area was messy.,Negative
Hall Rental,3412,Hindi kami nasiyahan sa aming stay dito.,Negative
Reservation,15480,Hindi gaanong special pero okay naman yung stay.,Neutral
Room,2942,"Terrible and awful experience, would not go back.",Negative
Reservation,7069,The water was cloudy and the area was messy.,Negative
Hall Rental,23017,"Excellent facility, highly recommend to everyone!",Positive
Event,2342,"Dirty rooms, broken aircon, and bad smell.",Negative
Room,19910,Great value for money and a relaxing vibe.,Positive
Event,14789,"The room was decent and normal, nothing special.",Neutral
Hall Rental,9995,Madumi yung area nung dumating kami.,Negative
Hall Rental,21262,The service was perfect and absolutely amazing.,Positive
Hall Rental,27337,"Everything was superb, clean, and well-maintained.",Positive
Entrance,2366,"Terrible and awful experience, would not go back.",Negative
Event,13558,The facilities are fine but could be better.,Neutral
Hall Rental,17031,Hindi gaanong special pero okay naman yung stay.,Neutral
Room,10591,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,22311,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,5799,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,22128,"Excellent facility, highly recommend to everyone!",Positive
Event,16525,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,25454,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,6692,Rude staff and very slow service at reception.,Negative
Entrance,8517,"It was an okay stay, average service overall.",Neutral
Room,16002,The facilities are fine but could be better.,Neutral
Hall Rental,15542,Medyo okay naman ang experience namin.,Neutral
Reservation,12283,"Acceptable quality, sakto lang ang karanasan.",Neutral
Hall Rental,14093,The facilities are fine but could be better.,Neutral
Event,9970,"Acceptable quality, sakto lang ang karanasan.",Neutral
Entrance,11306,Good location but service was just standard.,Neutral
Room,10105,"Acceptable quality, sakto lang ang karanasan.",Neutral
Event,16770,Hindi gaanong special pero okay naman yung stay.,Neutral
Entrance,9293,"It was an okay stay, average service overall.",Neutral
Entrance,16931,The facilities are fine but could be better.,Neutral
Event,19732,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,15888,"Acceptable quality, sakto lang ang karanasan.",Neutral
Hall Rental,28836,Walang kupas ang ganda ng pool area.,Positive
Room,5622,Madumi yung area nung dumating kami.,Negative
Hall Rental,16869,Good location but service was just standard.,Neutral
Entrance,9273,"The room was decent and normal, nothing special.",Neutral
Event,7753,The water was cloudy and the area was messy.,Negative
Event,27803,Great value for money and a relaxing vibe.,Positive
Entrance,12390,The facilities are fine but could be better.,Neutral
Room,11558,Medyo okay naman ang experience namin.,Neutral
Entrance,17117,"Acceptable quality, sakto lang ang karanasan.",Neutral
Event,9576,"Dirty rooms, broken aircon, and bad smell.",Negative
Event,9008,Rude staff and very slow service at reception.,Negative
Reservation,5085,"Terrible and awful experience, would not go back.",Negative
Hall Rental,25517,Great value for money and a relaxing vibe.,Positive
Room,14748,"The room was decent and normal, nothing special.",Neutral
Room,4329,"Disappointing stay, a total waste of money.",Negative
Hall Rental,28178,"Everything was superb, clean, and well-maintained.",Positive
Hall Rental,16835,The facilities are fine but could be better.,Neutral
Hall Rental,25677,"Beautiful view and very friendly, helpful staff.",Positive
Hall Rental,17641,"The room was decent and normal, nothing special.",Neutral
Room,3364,Rude staff and very slow service at reception.,Negative
Event,17127,"The room was decent and normal, nothing special.",Neutral
Hall Rental,19133,Sulit na sulit ang booking namin.,Positive
Entrance,27373,Sulit na sulit ang booking namin.,Positive
Reservation,9867,Madumi yung area nung dumating kami.,Negative
Hall Rental,11696,"The room was decent and normal, nothing special.",Neutral
Hall Rental,15468,"Standard amenities, fine experience for the price.",Neutral
Room,11471,"The room was decent and normal, nothing special.",Neutral
Event,15468,The facilities are fine but could be better.,Neutral
Event,8031,Mabagal ang serbisyo at medyo disappointing.,Negative
Room,10240,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,15918,Sulit na sulit ang booking namin.,Positive
Hall Rental,7045,Madumi yung area nung dumating kami.,Negative
Room,7194,Rude staff and very slow service at reception.,Negative
Reservation,10803,Medyo okay naman ang experience namin.,Neutral
Event,21852,Sulit na sulit ang booking namin.,Positive
Entrance,17060,"Excellent facility, highly recommend to everyone!",Positive
Room,27757,"Beautiful view and very friendly, helpful staff.",Positive
Entrance,18665,"Everything was superb, clean, and well-maintained.",Positive
Reservation,14121,"Acceptable quality, sakto lang ang karanasan.",Neutral
Entrance,3177,"Terrible and awful experience, would not go back.",Negative
Room,19784,"Beautiful view and very friendly, helpful staff.",Positive
Room,27385,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,17427,"Standard amenities, fine experience for the price.",Neutral
Entrance,23007,Walang kupas ang ganda ng pool area.,Positive
Event,2154,Madumi yung area nung dumating kami.,Negative
Entrance,15125,"Beautiful view and very friendly, helpful staff.",Positive
Hall Rental,8140,"Acceptable quality, sakto lang ang karanasan.",Neutral
Reservation,8529,Mabagal ang serbisyo at medyo disappointing.,Negative
Hall Rental,7561,Mabagal ang serbisyo at medyo disappointing.,Negative
Room,17734,Great value for money and a relaxing vibe.,Positive
Entrance,9633,The water was cloudy and the area was messy.,Negative
Reservation,15863,"Beautiful view and very friendly, helpful staff.",Positive
Hall Rental,18108,Great value for money and a relaxing vibe.,Positive
Room,26130,The service was perfect and absolutely amazing.,Positive
Reservation,15193,"Acceptable quality, sakto lang ang karanasan.",Neutral
Event,19183,Sulit na sulit ang booking namin.,Positive
Room,7859,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,5052,The water was cloudy and the area was messy.,Negative
Event,7143,"Disappointing stay, a total waste of money.",Negative
Event,16179,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,11735,"Standard amenities, fine experience for the price.",Neutral
Room,24949,Mabait at magalang ang mga staff dito.,Positive
Event,8991,"It was an okay stay, average service overall.",Neutral
Hall Rental,9319,Mabagal ang serbisyo at medyo disappointing.,Negative
Hall Rental,17551,Mabait at magalang ang mga staff dito.,Positive
Room,27991,Sulit na sulit ang booking namin.,Positive
Reservation,10594,Hindi gaanong special pero okay naman yung stay.,Neutral
Event,6537,"Disappointing stay, a total waste of money.",Negative
Entrance,24268,Sulit na sulit ang booking namin.,Positive
Event,9413,Hindi kami nasiyahan sa aming stay dito.,Negative
Hall Rental,9813,"Disappointing stay, a total waste of money.",Negative
Event,4962,"Terrible and awful experience, would not go back.",Negative
Event,15544,"The room was decent and normal, nothing special.",Neutral
Entrance,9546,Good location but service was just standard.,Neutral
Hall Rental,16428,"Excellent facility, highly recommend to everyone!",Positive
Hall Rental,20056,"Beautiful view and very friendly, helpful staff.",Positive
Room,10504,"Acceptable quality, sakto lang ang karanasan.",Neutral
Event,16605,Mabait at magalang ang mga staff dito.,Positive
Reservation,13067,"The room was decent and normal, nothing special.",Neutral
Entrance,4567,"Dirty rooms, broken aircon, and bad smell.",Negative
Room,27741,"Excellent facility, highly recommend to everyone!",Positive
