Date,Facilities,Sentiment,Guest_Count,Amount
2024-02-26,Reservation,Positive,112,24223.87
2024-02-27,Entrance,Neutral,15,3578.7
2024-02-28,Hall Rental,Neutral,118,27466.85
2024-02-29,Entrance,Negative,125,20173.22
2024-03-01,Hall Rental,Neutral,103,26307.34
2024-03-02,Hall Rental,Negative,56,16314.84
2024-03-03,Entrance,Positive,108,19811.03
2024-03-04,Entrance,Positive,64,13438.58
2024-03-05,Hall Rental,Positive,61,19800.13
2024-03-06,Event,Positive,22,17825.09
2024-03-07,Reservation,Negative,123,23011.01
2024-03-08,Entrance,Positive,133,24378.55
2024-03-09,Reservation,Neutral,115,22517.11
2024-03-10,Event,Neutral,129,34713.09
2024-03-11,Event,Neutral,72,25289.33
2024-03-12,Event,Negative,28,17956.26
2024-03-13,Entrance,Positive,101,18764.34
2024-03-14,Event,Positive,67,25142.81
2024-03-15,Entrance,Positive,99,19164.43
2024-03-16,Event,Negative,126,32642.62
2024-03-17,Reservation,Neutral,71,16088.21
2024-03-18,Reservation,Neutral,32,10363.78
2024-03-19,Hall Rental,Positive,136,32042.08
2024-03-20,Reservation,Neutral,146,28036.43
2024-03-21,Hall Rental,Neutral,149,31919.64
2024-03-22,Reservation,Negative,138,25071.38
2024-03-23,Entrance,Negative,67,11056.74
2024-03-24,Reservation,Negative,131,23915.46
2024-03-25,Hall Rental,Negative,10,9613.95
2024-03-26,Hall Rental,Positive,43,16829.49
2024-03-27,Event,Negative,105,29442.97
2024-03-28,Entrance,Neutral,135,23172.2
2024-03-29,Reservation,Positive,127,25684.18
2024-03-30,Event,Neutral,57,22621.98
2024-03-31,Reservation,Neutral,98,20827.73
2024-04-01,Reservation,Neutral,126,24484.22
2024-04-02,Event,Negative,138,34858.54
2024-04-03,Event,Negative,25,16590.34
2024-04-04,Event,Positive,78,27296.86
2024-04-05,Event,Positive,31,20476.04
2024-04-06,Event,Negative,102,27505.61
2024-04-07,Reservation,Neutral,85,17847.46
2024-04-08,Event,Positive,95,30021.87
2024-04-09,Entrance,Negative,38,7496.41
2024-04-10,Hall Rental,Negative,78,20691.56
2024-04-11,Event,Negative,56,21704.79
2024-04-12,Event,Neutral,103,30770.29
2024-04-13,Reservation,Negative,94,19207.0
2024-04-14,Event,Negative,48,20005.71
2024-04-15,Event,Negative,109,29953.21
2024-04-16,Event,Negative,42,19690.08
2024-04-17,Reservation,Positive,110,23909.3
2024-04-18,Event,Positive,32,20393.04
2024-04-19,Hall Rental,Negative,19,11393.21
2024-04-20,Reservation,Neutral,78,17200.04
2024-04-21,Hall Rental,Positive,109,26453.06
2024-04-22,Reservation,Negative,43,11149.31
2024-04-23,Event,Positive,147,38107.87
2024-04-24,Hall Rental,Positive,105,27381.08
2024-04-25,Reservation,Neutral,10,6477.98
2024-04-26,Entrance,Negative,78,13154.02
2024-04-27,Event,Negative,13,14774.33
2024-04-28,Reservation,Neutral,25,8300.97
2024-04-29,Entrance,Neutral,33,6813.87
2024-04-30,Reservation,Negative,89,16885.35
2024-05-01,Entrance,Negative,11,3162.3
2024-05-02,Event,Neutral,137,34147.56
2024-05-03,Hall Rental,Positive,93,25931.07
2024-05-04,Entrance,Positive,149,25212.94
2024-05-05,Reservation,Neutral,133,26364.94
2024-05-06,Event,Positive,42,21055.97
2024-05-07,Entrance,Neutral,110,19330.52
2024-05-08,Reservation,Positive,21,8878.78
2024-05-09,Reservation,Positive,76,18616.87
2024-05-10,Reservation,Negative,74,15491.85
2024-05-11,Entrance,Negative,83,14401.84
2024-05-12,Entrance,Positive,52,11098.02
2024-05-13,Entrance,Positive,53,11391.48
2024-05-14,Hall Rental,Negative,38,14698.05
2024-05-15,Entrance,Negative,21,3990.64
2024-05-16,Entrance,Negative,104,16479.85
2024-05-17,Entrance,Neutral,55,9874.2
2024-05-18,Hall Rental,Positive,139,32070.42
2024-05-19,Entrance,Negative,44,7575.68
2024-05-20,Reservation,Positive,90,18877.07
2024-05-21,Entrance,Neutral,99,17601.47
2024-05-22,Reservation,Neutral,17,7025.76
2024-05-23,Reservation,Negative,102,19229.84
2024-05-24,Reservation,Neutral,99,20324.19
2024-05-25,Hall Rental,Positive,124,29269.94
2024-05-26,Hall Rental,Negative,114,26231.25
2024-05-27,Hall Rental,Positive,144,33806.73
2024-05-28,Entrance,Positive,67,13195.47
2024-05-29,Reservation,Neutral,123,23535.21
2024-05-30,Hall Rental,Neutral,84,22610.75
2024-05-31,Hall Rental,Neutral,129,29107.38
2024-06-01,Entrance,Neutral,30,6661.88
2024-06-02,Hall Rental,Neutral,147,32442.82
2024-06-03,Entrance,Negative,110,18032.4
2024-06-04,Event,Positive,108,31768.28
2024-06-05,Hall Rental,Positive,45,17571.05
2024-06-06,Event,Positive,105,32073.56
2024-06-07,Entrance,Positive,46,10003.54
2024-06-08,Reservation,Neutral,21,8318.72
2024-06-09,Hall Rental,Positive,122,29843.42
2024-06-10,Entrance,Negative,22,4645.52
2024-06-11,Reservation,Negative,32,8780.9
2024-06-12,Reservation,Positive,108,23190.93
2024-06-13,Event,Positive,114,32234.38
2024-06-14,Entrance,Negative,39,6931.63
2024-06-15,Reservation,Negative,26,7644.46
2024-06-16,Hall Rental,Neutral,122,28698.09
2024-06-17,Hall Rental,Negative,71,20099.8
2024-06-18,Event,Neutral,93,28526.67
2024-06-19,Reservation,Neutral,121,23792.63
2024-06-20,Entrance,Neutral,95,16287.5
2024-06-21,Hall Rental,Neutral,28,13488.72
2024-06-22,Reservation,Neutral,109,21298.37
2024-06-23,Reservation,Positive,149,28006.66
2024-06-24,Event,Negative,85,25979.48
2024-06-25,Hall Rental,Neutral,18,12140.95
2024-06-26,Hall Rental,Negative,37,15321.42
2024-06-27,Entrance,Negative,137,23016.41
2024-06-28,Hall Rental,Neutral,61,19232.82
2024-06-29,Entrance,Positive,92,18302.24
2024-06-30,Hall Rental,Neutral,120,28795.45
2024-07-01,Event,Positive,126,33526.22
2024-07-02,Hall Rental,Negative,78,21123.73
2024-07-03,Entrance,Positive,108,20095.73
2024-07-04,Entrance,Positive,149,25950.31
2024-07-05,Event,Positive,34,19562.4
2024-07-06,Hall Rental,Negative,132,29257.7
2024-07-07,Hall Rental,Negative,62,17070.44
2024-07-08,Event,Positive,66,25219.26
2024-07-09,Hall Rental,Positive,48,17631.45
2024-07-10,Hall Rental,Neutral,118,27160.58
2024-07-11,Entrance,Positive,51,11499.4
2024-07-12,Hall Rental,Neutral,131,29784.35
2024-07-13,Hall Rental,Positive,142,32596.98
2024-07-14,Event,Neutral,84,27473.94
2024-07-15,Event,Negative,85,26170.6
2024-07-16,Reservation,Positive,18,9015.71
2024-07-17,Entrance,Positive,83,16272.93
2024-07-18,Hall Rental,Positive,16,13263.38
